ID,x,y,pop_sum,pop_mean,water_mean
125332,-120.96,-90,0,0,0
125331,-121.68,-90,0,0,0
125330,-122.4,-90,0,0,0
125329,-123.12,-90,0,0,0
125328,-123.84,-90,0,0,0
125327,-124.56,-90,0,0,0
125326,-125.28,-90,0,0,0
125325,-126,-90,0,0,0
125324,-126.72,-90,0,0,0
125323,-127.44,-90,0,0,0
125322,-128.16,-90,0,0,0
125321,-128.88,-90,0,0,0
125320,-129.6,-90,0,0,0
125319,-130.32,-90,0,0,0
125318,-131.04,-90,0,0,0
125317,-131.76,-90,0,0,0
125316,-132.48,-90,0,0,0
125315,-133.2,-90,0,0,0
125314,-133.92,-90,0,0,0
125313,-134.64,-90,0,0,0
125312,-135.36,-90,0,0,0
125311,-136.08,-90,0,0,0
125310,-136.8,-90,0,0,0
125309,-137.52,-90,0,0,0
125308,-138.24,-90,0,0,0
125307,-138.96,-90,0,0,0
125306,-139.68,-90,0,0,0
125305,-140.4,-90,0,0,0
125304,-141.12,-90,0,0,0
125303,-141.84,-90,0,0,0
125302,-142.56,-90,0,0,0
125301,-143.28,-90,0,0,0
125300,-144,-90,0,0,0
125299,-144.72,-90,0,0,0
125298,-145.44,-90,0,0,0
125297,-146.16,-90,0,0,0
125296,-146.88,-90,0,0,0
125295,-147.6,-90,0,0,0
125294,-148.32,-90,0,0,0
125293,-149.04,-90,0,0,0
125292,-149.76,-90,0,0,0
125291,-150.48,-90,0,0,0
125290,-151.2,-90,0,0,0
125289,-151.92,-90,0,0,0
125288,-152.64,-90,0,0,0
125287,-153.36,-90,0,0,0
125286,-154.08,-90,0,0,0
125285,-154.8,-90,0,0,0
125284,-155.52,-90,0,0,0
125283,-156.24,-90,0,0,0
125282,-156.96,-90,0,0,0
125281,-157.68,-90,0,0,0
125280,-158.4,-90,0,0,0
125279,-159.12,-90,0,0,0
125278,-159.84,-90,0,0,0
125277,-160.56,-90,0,0,0
125276,-161.28,-90,0,0,0
125275,-162,-90,0,0,0
125274,-162.72,-90,0,0,0
125273,-163.44,-90,0,0,0
125272,-164.16,-90,0,0,0
125271,-164.88,-90,0,0,0
125270,-165.6,-90,0,0,0
125269,-166.32,-90,0,0,0
125268,-167.04,-90,0,0,0
125267,-167.76,-90,0,0,0
125266,-168.48,-90,0,0,0
125265,-169.2,-90,0,0,0
125264,-169.92,-90,0,0,0
125263,-170.64,-90,0,0,0
125262,-171.36,-90,0,0,0
125261,-172.08,-90,0,0,0
125260,-172.8,-90,0,0,0
125259,-173.52,-90,0,0,0
125258,-174.24,-90,0,0,0
125257,-174.96,-90,0,0,0
125256,-175.68,-90,0,0,0
125255,-176.4,-90,0,0,0
125254,-177.12,-90,0,0,0
125253,-177.84,-90,0,0,0
125252,-178.56,-90,0,0,0
125251,-179.28,-90,0,0,0
125250,-180,-90,0,0,0
125249,180,-89.28,0,0,0
125248,179.28,-89.28,0,0,0
125247,178.56,-89.28,0,0,0
125246,177.84,-89.28,0,0,0
125245,177.12,-89.28,0,0,0
125244,176.4,-89.28,0,0,0
125243,175.68,-89.28,0,0,0
125242,174.96,-89.28,0,0,0
125241,174.24,-89.28,0,0,0
125240,173.52,-89.28,0,0,0
125239,172.8,-89.28,0,0,0
125238,172.08,-89.28,0,0,0
125237,171.36,-89.28,0,0,0
125236,170.64,-89.28,0,0,0
125235,169.92,-89.28,0,0,0
125234,169.2,-89.28,0,0,0
125233,168.48,-89.28,0,0,0
125232,167.76,-89.28,0,0,0
125231,167.04,-89.28,0,0,0
125230,166.32,-89.28,0,0,0
125229,165.6,-89.28,0,0,0
125228,164.88,-89.28,0,0,0
125227,164.16,-89.28,0,0,0
125226,163.44,-89.28,0,0,0
125225,162.72,-89.28,0,0,0
125224,162,-89.28,0,0,0
125223,161.28,-89.28,0,0,0
125222,160.56,-89.28,0,0,0
125221,159.84,-89.28,0,0,0
125220,159.12,-89.28,0,0,0
125219,158.4,-89.28,0,0,0
125218,157.68,-89.28,0,0,0
125217,156.96,-89.28,0,0,0
125216,156.24,-89.28,0,0,0
125215,155.52,-89.28,0,0,0
125214,154.8,-89.28,0,0,0
125213,154.08,-89.28,0,0,0
125212,153.36,-89.28,0,0,0
